id,name,section,country,image
284,BLACK AND TAN COONHOUND,Scent hounds,UNITED STATES OF AMERICA,http://www.fci.be/Nomenclature/Illustrations/300g06.jpg
285,AMERICAN WATER SPANIEL,Water Dogs,UNITED STATES OF AMERICA,
286,IRISH GLEN OF IMAAL TERRIER,Large and medium sized Terriers,IRELAND,
287,AMERICAN FOXHOUND,Scent hounds,UNITED STATES OF AMERICA,
288,RUSSIAN-EUROPEAN LAIKA,Nordic Hunting Dogs,RUSSIA,
289,EAST SIBERIAN LAIKA,Nordic Hunting Dogs,RUSSIA,http://www.fci.be/Nomenclature/Illustrations/305g05-1.jpg
290,WEST SIBERIAN LAIKA,Nordic Hunting Dogs,RUSSIA,
291,AZAWAKH,Short-haired Sighthounds,MALI,
292,DUTCH SMOUSHOND,Pinscher and Schnauzer type,THE NETHERLANDS,
293,SHAR PEI,Molossian type,CHINA,
294,PERUVIAN HAIRLESS DOG,Primitive type,PERU,http://www.fci.be/Nomenclature/Illustrations/310g05.jpg
295,SAARLOOS WOLFHOND,Sheepdogs,THE NETHERLANDS,
296,NOVA SCOTIA DUCK TOLLING RETRIEVER,Retrievers,CANADA,
297,DUTCH SCHAPENDOES,Sheepdogs,THE NETHERLANDS,http://www.fci.be/Nomenclature/Illustrations/313g01.jpg
298,NEDERLANDSE KOOIKERHONDJE,Flushing Dogs,THE NETHERLANDS,http://www.fci.be/Nomenclature/Illustrations/314g08-1.jpg
299,BROHOLMER,Molossian type,DENMARK,http://www.fci.be/Nomenclature/Illustrations/315g02.jpg
300,FRENCH WHITE AND ORANGE HOUND,Scent hounds,FRANCE,
301,KAI,Asian Spitz and related breeds,JAPAN,http://www.fci.be/Nomenclature/Illustrations/317g05.jpg
302,KISHU,Asian Spitz and related breeds,JAPAN,http://www.fci.be/Nomenclature/Illustrations/318g05.jpg
303,SHIKOKU,Asian Spitz and related breeds,JAPAN,http://www.fci.be/Nomenclature/Illustrations/319g05.jpg
304,WIREHAIRED SLOVAKIAN POINTER,Continental Pointing Dogs,SLOVAKIA,
305,MAJORCA SHEPHERD DOG,Sheepdogs,SPAIN,
306,GREAT ANGLO-FRENCH TRICOLOUR HOUND,Scent hounds,FRANCE,
307,GREAT ANGLO-FRENCH WHITE AND BLACK HOUND,Scent hounds,FRANCE,http://www.fci.be/Nomenclature/Illustrations/323g06.jpg
308,GREAT ANGLO-FRENCH WHITE & ORANGE HOUND,Scent hounds,FRANCE,
309,MEDIUM-SIZED ANGLO-FRENCH HOUND,Scent hounds,FRANCE,
310,SOUTH RUSSIAN SHEPHERD DOG,Sheepdogs,RUSSIA,
311,RUSSIAN BLACK TERRIER,Pinscher and Schnauzer type,RUSSIA,
312,CAUCASIAN SHEPHERD DOG,Molossian type,RUSSIA,http://www.fci.be/Nomenclature/Illustrations/328g02.jpg
313,CANARIAN WARREN HOUND,Primitive type - Hunting Dogs,SPAIN,http://www.fci.be/Nomenclature/Illustrations/329g05.jpg
