breed,color,dogName,zip
BRUSSELS GRIFFON,APRICOT,BUDDY,15235
MIXED,BLACK/BROWN,TRIXIE,15221
MIXED,WHITE,COCONUT,15136
MIXED,BLACK/GREY,LEXI,15024
BEAGLE,MULTI,REX,15102
VIZSLA,RED,ROXIE,15143
DACHSHUND,BLACK/BROWN,HEIDI,15137
BICHON FRISE,WHITE/APRICOT,MISSY,15227
LABRADOR RETRIEVER,YELLOW,HOGAN,15229
GER SHEPHERD MIX,BLACK/BROWN,LADY CC,15147
TERRIER,GOLD,ROCKY,15216
DACHSHUND,BROWN,COCO,15084
LABRADOR RETRIEVER,BLACK,PRESSCHESS,15221
LAB MIX,BLACK,BUDDY,15106
MIXED,WHITE/BLACK,SHIBUI,15139
TERRIER MIX,WHITE/TAN,RY-LEE,15137
MIXED,SPOTTED,KRAMER,15024
CHOW CHOW MIX,BLACK,BELLA,15243
BEAGLE MIX,OTHER,BOWSER,15235
DACHSHUND,BROWN,LUCY,15084
DACHSHUND,BLACK/BROWN,SHARLETTE,15137
MIXED,BLACK,TOBY,15037
BORD COLLIE,WHITE/BLACK,HARLEY,15210
YORKSHIRE TERRIER,BLACK/BROWN,HUMPFREY,15025
BEAGLE,WHITE/BLACK/BROWN,SHILOH,15236
SIB HUSKY,WHITE/BLACK,ANGEL,15071
BORD COLLIE,WHITE/BLACK,JACK,15037
MIXED,MULTI,MAX,15035
LAB MIX,WHITE/BLACK,MILO,15044
COLLIE MIX,MULTI,CHIEF,15037
PUGGLE,BROWN,ISAAC,15144
LABRADOR RETRIEVER,YELLOW,HALLE,15102
MIXED,BLACK,DASH,15037
LABRADOR RETRIEVER,BLACK,LILY,15102
MIXED,BLACK,KNUTE,15102
BEAGLE,WHITE/BLACK/BROWN,JULIE,15116
ENG SETTER,WHITE/BLACK,TRIXI,15234
GER SHEPHERD MIX,BLACK/BROWN,JENNA,15126
TERRIER MIX,WHITE/BROWN,ROXY,15214
PARSON RUSSELL TERR,WHITE/BLACK,SASSIE,15071
PUG,BEIGE,TYSON,15147
COCKER SPANIEL,WHITE/BROWN,MOSES,15090
LABRADOR RETRIEVER,BLACK,MATTIE,15236
LABRADOR RETRIEVER,YELLOW,TAFFY,15145
MIXED,SPOTTED,BUTTONS,15209
AM PIT BULL TERRIER,WHITE/TAN,BULLIE,15112
MIXED,BROWN,BENJI,15116
MIXED,BROWN,NAOMI SKYY,15129
NORW ELKHOUND,BLACK/GREY,FRANCESKA,15110
MIXED,MULTI,MICKEY,15084
BEAGLE,MULTI,MOLLIE,15221
LAB MIX,BROWN,SHEBA,15108
DACHSHUND,RED,AIMEE,15237
MIXED,YELLOW,PRINCESS,15202
GER SHEPHERD,BLACK,MALLORY,15102
SCHNAUZER MIN,BLACK/GREY,ZUZU,15102
DACHSHUND,RED,EARL,15143
LABRADOODLE,YELLOW,CARLY,15238
GOLDENDOODLE,BLACK,BRUIN,15108
YORKSHIRE TERRIER,SILVER,HARRY,15146
LABRADOR RETRIEVER,BROWN,CAPTAIN,15218
LABRADOR RETRIEVER,BROWN,CAPTAIN,15218
GOLDEN RETRIEVER,RED,JASMINE,15108
LABRADOR RETRIEVER,WHITE/BLACK,ZOEY,15015
GER SHEPHERD,BRINDLE,SOLE`,15238
SHIBA INU,CREAM,TWISTER,15239
LAB MIX,YELLOW,SYDNEY,15237
MIXED,BLACK/BROWN,SQUEAKER,15132
AM PITT BULL MIX,TAN,PAYTON,15035
ENG BULLDOG,WHITE/RED,CESAR,15243
GOLDEN RETRIEVER,GOLD,MAX,15084
POMERANIAN,BLACK,TEDDY,15209
VIZSLA,ORANGE,RAZZI,15238
BEAGLE,WHITE/BLACK/BROWN,BANDIT,15044
DACHSHUND,BLACK/BROWN,ADDISON,15235
MIXED,WHITE/BROWN,CASSIE,15044
SHIH TZU,MULTI,ANGEL,15137
BEAGLE,WHITE/BLACK/BROWN,DIANA,15044
PEKINGESE,BROWN,ROCKO,15046
MIXED,BLACK,TEDDY,15221
MIXED,BLACK/TAN,ABBY,15146
SHIH TZU,BRINDLE,HARLEY,15234
PARSON RUSSELL TERR,WHITE/TAN,MISTY,15116
PARSON RUSSELL TERR,WHITE/TAN,MISTY,15116
DACHSHUND,RED,BRIGGS,15236
PEKINGESE,BLACK/TAN,BOO,15120
MIXED,BROWN,BRUNO,15235
SHIH TZU,WHITE/BLACK,BENTON,15024
SHIH TZU,WHITE/BLACK,BENTON,15024
PARSON RUSSELL TERR,SPOTTED,SHEA,15044
COCKER SPANIEL,BLACK/BROWN,CODY,15071
CHIHUAHUA,WHITE/BLACK,GORDITA,15239
LABRADOR RETRIEVER,GREY,DAKOTA,15136
BOXER,BROWN,MAGGIE,15065
SCHIPPERKE,BLACK,CODY,15090
MIXED,BROWN,COCO,15037
SCHNOODLE,BROWN,COSMO,15108
LAB MIX,GOLD,BELLA,15122
POODLE TOY,APRICOT,PRECIOUS,15132
MIXED,BROWN,K.C.,15137
COLLIE,SABLE,ANNIE,15238
BICHON FRISE,WHITE,ZIGGY,15237
MIXED,WHITE/BLACK/BROWN,MAGGIE,15063
MIXED,BLACK/BROWN,LADYBUG,15120
COCKER SPANIEL,BLACK,BRODY,15137
SHETLAND SHEEPDOG,MULTI,TILLY,15241
LABRADOR RETRIEVER,BLACK,LAZER,15102
AUS CATTLE DOG,SPOTTED,MANDINGO,15243
AUS CATTLE DOG,SPOTTED,MANDINGO,15243
DACHSHUND,WHITE/RED,TEDDY,15112
GREYHOUND,WHITE/BLACK,TERI,15101
POODLE STANDARD,BLACK,MOLLY,15101
COCKER SPANIEL,BUFF,SPENSER,15106
SHIH TZU,WHITE/BROWN,CHLOE,15239
GOLDEN RETRIEVER,GOLD,MAGGIE,15137
LABRADOR RETRIEVER,BLACK,TOMA,15237
MALTESE,WHITE,POKY,15108
POODLE TOY,CREAM,CLAUDE,15102
COCKER SPANIEL,BUFF,SARAH,15143
COCKER SPANIEL MIX,GOLD,WINSTON,15024
BEAGLE,SPOTTED,MALLORY,15017
MIXED,WHITE/BROWN,COCOA,15120
MIXED,BROWN,SMOKEY,15044
MIXED,WHITE/TAN,CHIPS,15024
BEAGLE,TRI-COLOR,LADY,15126
MIXED,WHITE,BLESS,15136
PEKINGESE,BLACK/BROWN,TOSOX,15209
MIXED,BUFF,DOVER,15024
COCKER SPANIEL MIX,WHITE/BLACK,CINDERS,15024
MIXED,WHITE/BROWN,SHADOW,15037
MIXED,WHITE/BROWN,MISTY,15037
POODLE STANDARD,BLACK,BELLA,15241
PARSON RUSSELL TERR,WHITE/BROWN,SHELBY,15243
LAB MIX,BLACK,LUCY,15122
POODLE TOY,WHITE/BLACK,BLAISE,15239
TERRIER MIX,WHITE/BROWN,ATLAS,15122
LABRADOR RETRIEVER,BLACK,EMEE,15044
SCHNAUZER MIN,WHITE/BLACK,BELLA,15220
MIXED,BLACK,MAGGIE,15065
MIXED,WHITE/BLACK/BROWN,LEON,15132
GER SHEPHERD MIX,BLACK/BROWN,ZOEY,15234
SHIH TZU,GOLD,MAI LIN,15102
BEAGLE,WHITE/BROWN,SALLY,15237
COLLIE MIX,RED/BROWN,OLLIE,15237
MIXED,WHITE/BLACK/BROWN,BUDDY,15223
DACHSHUND,BLACK,ZACH,15235
SHETLAND SHEEPDOG,MULTI,PRANCER,15214
GER SHORTHAIR POINT,WHITE/LIVER,MAGGIE,15146
LAB MIX,BLACK,BANDIT,15112
BOSTON TERRIER,SPOTTED,ELOISE,15202
SHIH TZU,SPOTTED,MEMPHIS,15102
AM ESKIMO DOG,WHITE,POLOMA,15101
TERRIER MIX,BLACK,ANGEL,15071
POMERANIAN,BEIGE,FOXY,15136
GOLDEN RETRIEVER,GOLD,KYLIE,15235
SHEPHERD MIX,BLACK/BROWN,BAILEY,15205
PEEKAPOO,BROWN,FOSTER,15015
BLUE HEELER,BLACK/GREY,MAX,15037
SIB HUSKY,WHITE/BLACK,BUDDY,15102
COCKER SPANIEL,BROWN,SCARLETT,15237
PAPILLON,SABLE/WHITE,JENNY,15136
AUS SHEPHERD,WHITE/BLACK/GREY,SHEBA,15017
COCKAPOO,WHITE,HARRY,15221
BEAGLE,MULTI,BUZZ,15122
GREYHOUND,WHITE/TAN,FRANCO,15025
GER SHORTHAIR POINT,SPOTTED,CHAMP,15065
GREAT DANE,MERLE,JUNO,15228
SHIBA INU,WHITE/APRICOT,SHEBA,15237
MIXED,WHITE,PEP,15025
ENG SETTER,WHITE/BLACK,LYNDI,15101
ENG SETTER,WHITE/BLACK,LYNDI,15101
DACHSHUND,RED,OTTO,15229
POODLE TOY,APRICOT,PRINCESS GABRIELLE,15136
TAG,MULTI,CHARLIE,15102
SHIH TZU,WHITE/BROWN,OLLIE,15116
COLLIE,BROWN,RUFFY,15122
MIXED,BLACK,SAMMY,15025
CHIHUAHUA,WHITE/BEIGE,HOOCH,15235
LAB MIX,WHITE/BLACK,BUDDY,15146
DACHSHUND,MULTI,SCHROEDER,15102
AM ESKIMO DOG,WHITE,TORNADO,15037
LAB MIX,BROWN,COCO,15218
MIXED,BLACK,BAILEY,15108
TERRIER,TAN,SPIKE,15129
MIXED,SPOTTED,CISCO,15209
MIXED,SPOTTED,CISCO,15209
MANCHESTER TERRIER,BLACK,TAZ,15044
SHETLAND SHEEP MIX,BROWN,ANNABELL,15236
MIXED,BLACK/BROWN,COCOA,15241
GER SHORTHAIR POINT,SPOTTED,DOZER,15205
ORI PEI,BLACK,TETSU,15236
COCKER SPANIEL,BROWN,BAKER,15220
DALMATION MIX,WHITE/BLACK,GUNNIE,15057
DACHSHUND,BLACK,BUDDY,15101
CAIRN TERRIER,CREAM,FEZZIK,15212
MIXED,WHITE/BROWN,LULUBELLE,15090
MIXED,WHITE/BROWN,LULUBELLE,15090
MIXED,WHITE/BLACK/BROWN,LILY MAY,15084
WEIMARANER,GREY,STORM,15037
LABRADOODLE,BLACK,ROXY,15215
COCKER SPANIEL,BLACK/BROWN,CARMEL,15234
TERRIER MIX,BROWN,CRICKET,15137
CAIRN TERRIER,RED/BRINDLE,KEEGAN,15238
CAIRN TERRIER,BRINDLE,RILEY,15238
CAIRN TERRIER,BRINDLE,RILEY,15238
MALTESE MIX,BLACK/BROWN,BELLA,15102
POODLE STANDARD,BLACK,ROXY,15116
MIXED,WHITE/BLACK,TIPPIE,15148
BOXER MIX,BROWN,GUS,15065
LHASA APSO,SPOTTED,OZZY,15235
YORKSHIRE TERRIER,BLACK,LORD TOBIUS,15146
GOLDEN RETRIEVER,GOLD,ABBIE,15235
GER SHEPHERD,BLACK/TAN,EFFI,15132
BEAGLE,BLACK/BROWN,LUKE,15120
DACHSHUND,BLACK/TAN,SOPHIE,15235
COCKAPOO,BUFF,SALLY,15120
MIXED,WHITE/BLACK,CHLOE,15214
BEAGLE,MULTI,JACKSON,15143
LABRADOODLE,BROWN,CHESSIE,15084
MIXED,BLACK,JOHNATHAN,15071
MIXED,BLACK/GREY,PACO,15136
LAB MIX,TAN,NOMAR,15235
MIXED,BLACK,CHARLIE,15143
BICHON FRISE,WHITE,SUGAR,15131
SCHIPPERKE,BLACK,BAMBAM WILY,15090
BEAGLE,WHITE/BROWN,GINGER,15228
SIB HUSKY,WHITE/BLACK,SHADOW,15228
ENG SPRINGER SPANIE,WHITE/LIVER,DOTTIE,15143
ENG SPRINGER SPANIE,WHITE/LIVER,DOTTIE,15143
MALTESE,WHITE,DERVISH,15241
LAB MIX,WHITE/BLACK,LILLY,15228
POMERANIAN,RED/BROWN,STEVIE SKY,15065
BORD COLLIE,BROWN,CHLOE,15037
COLLIE MIX,WHITE/BLACK/BROWN,BUDDY,15235
AM ESKIMO DOG,WHITE,ZUES,15235
PAPILLON,SPOTTED,MAX A MILLION,15237
BOSTON TERRIER,BRINDLE,PRINCESS,15223
MIXED,BROWN,TESSA,15090
MIN PINSCHER,BLACK,RICO,15122
LAB MIX,BLACK,TORO,15237
SHIH TZU,WHITE/BROWN,PEPPY,15122
MIXED,BROWN,HALEY,15227
MIXED,BLACK/BROWN,DAISY,15146
SAMOYED,WHITE,ZOE,15133
JAPANESE CHIN,WHITE/BLACK,GIZMET,15136
PARSON RUSSELL TERR,WHITE/BROWN,JACK,15129
SCOTTISH TERRIER,BLACK,DAN,15136
WHIPPET,FAWN,CHESSIE,15101
YORKSHIRE TERR MIX,BROWN/TAN,TEDDIE,15147
MIXED,WHITE/BLACK,DOMINO,15228
LHASA APSO,WHITE/TAN,HALEY,15237
YORKSHIRE TERRIER,BLACK/BROWN,ROCKY,15146
BEAGLE MIX,TAN,MADDIE,15136
LABRADOR RETRIEVER,BLACK,ROCCO,15235
BEAGLE,WHITE/BLACK/BROWN,BELLA,15108
BEAGLE,SPOTTED,OLIVER,15237
LABRADOR RETRIEVER,BROWN,GUNNER,15129
CHIHUAHUA,BROWN,PINTO,15108
LAB MIX,SPOTTED,ANGEL,15037
SHIH TZU,WHITE/BLACK,ZENTU,15237
SHIH TZU,WHITE/BLACK,ZENTU,15237
BICHON FRISE,WHITE,MOLLY,15218
LABRADOR RETRIEVER,CHOCOLATE,MURPHY,15237
SHIH TZU,WHITE,MOCHA,15129
GOLDEN RETRIEVER,BROWN,LUCKY,15090
GOLDEN RETRIEVER,YELLOW,LAYLA,15238
SHIH TZU,BRINDLE,GIZMO,15239
SCOTTISH TERRIER,BLACK,ROXI,15071
GER SHEPHERD MIX,BLACK/BROWN,ANNE,15147
OLD ENG SHEEPDOG,WHITE/GREY,GRETTA,15106
YORKSHIRE TERR MIX,BLACK,ERNIE,15243
PEKINGESE,BLACK/FAWN,BUFFY,15045
BOXER,BRINDLE,ABBY,15241
LABRADOR RETRIEVER,BLACK,PUCK,15101
MIXED,BROWN,BOOMER,15108
BEAGLE,WHITE/TAN,BONNIE,15234
TERRIER MIX,TAN,WILLOW,15136
POMERANIAN,ORANGE/WHITE,PUMPKIN,15106
MIXED,WHITE/BLACK/BROWN,BULLET,15147
MIXED,WHITE,HALLEY,15241
ENG SPRINGER SPANIE,WHITE/LIVER,DAISEY,15044
POMERANIAN,BROWN,TEDDY,15236
BEAGLE MIX,MULTI,CHIP,15234
LABRADOR RETRIEVER,BLACK,IRIS,15057
LHASA APSO,WHITE,GABBY,15057
LABRADOR RETRIEVER,BLACK,MUSHIE,15137
LABRADOR RETRIEVER,BLACK,MUSHIE,15137
MIXED,WHITE,BUD,15202
PARSON RUSSELL TERR,SPOTTED,TUCKER,15120
BORD COLLIE,BLACK/TAN,DARGO,15235
LABRADOR RETRIEVER,BLACK,CASEY,15056
BOSTON TERRIER,WHITE/BLACK,SHASTA,15227
LAB MIX,BLACK,TAMMY,15108
ROTTWEILER,BLACK/RED,CHASE,15017
CHOW CHOW,RED,GINGER,15239
BISHON FRISE MIX,WHITE,RUSTY,15221
BEAGLE,MULTI,DAISY,15116
REDTICK COONHOUND,SPOTTED,MAX,15239
COCKER SPANIEL,MULTI,HANNA,15108
COCKER SPANIEL,MULTI,HANNA,15108
LAB MIX,BLACK,BISCUIT,15044
MIXED,BLACK,BULLET HEAD,15084
MIXED,BLACK,BULLET HEAD,15084
